  0.965925813      0.233819038    
   1.93185163      0.417638063    
   2.89777756      0.551457107    
   3.86370325      0.635276139    
   4.82962894      0.669095278    
   5.79555511      0.652914226    
   6.76148081      0.586733341    
   7.72740650      0.470552206    
   8.69333267      0.304371357    
   9.65925789       8.81905556E-02
  
  0.866025388      0.474999994    
   1.73205078      0.899999976    
   2.59807611       1.27499998    
   3.46410155       1.59999990    
   4.33012676       1.87500000    
   5.19615221       2.09999990    
   6.06217766       2.27500010    
   6.92820311       2.39999986    
   7.79422855       2.47499990    
   8.66025352       2.50000000    
   9.52627945       2.47499990    
   10.3923044       2.39999986    
   11.2583313       2.27500010    
   12.1243553       2.10000038    
   12.9903812       1.87500000    
   13.8564062       1.59999943    
   14.7224312       1.27499962    
   15.5884571      0.899999619    
   16.4544830      0.475000381    
   17.3205070       0.00000000    
  
  0.707106769      0.682106793    
   1.41421354       1.31421351    
   2.12132025       1.89632022    
   2.82842708       2.42842698    
   3.53553391       2.91053391    
   4.24264050       3.34264040    
   4.94974756       3.72474766    
   5.65685415       4.05685425    
   6.36396074       4.33896065    
   7.07106781       4.57106781    
   7.77817440       4.75317430    
   8.48528099       4.88528061    
   9.19238853       4.96738815    
   9.89949512       4.99949551    
   10.6066017       4.98160172    
   11.3137083       4.91370773    
   12.0208149       4.79581451    
   12.7279215       4.62792110    
   13.4350290       4.41002941    
   14.1421356       4.14213562    
   14.8492432       3.82424164    
   15.5563488       3.45634842    
   16.2634563       3.03845596    
   16.9705620       2.57056141    
   17.6776695       2.05266953    
   18.3847771       1.48477554    
   19.0918827      0.866882324    
   19.7989902      0.198991776    
  
  0.499999970      0.841025472    
  0.999999940       1.63205087    
   1.49999988       2.37307644    
   1.99999988       3.06410170    
   2.49999976       3.70512724    
   2.99999976       4.29615259    
   3.49999976       4.83717823    
   3.99999976       5.32820320    
   4.49999952       5.76922894    
   4.99999952       6.16025448    
   5.49999952       6.50127935    
   5.99999952       6.79230499    
   6.50000000       7.03333092    
   6.99999952       7.22435665    
   7.49999952       7.36538124    
   7.99999952       7.45640659    
   8.49999905       7.49743271    
   8.99999905       7.48845768    
   9.49999905       7.42948341    
   9.99999905       7.32050896    
   10.5000000       7.16153526    
   10.9999990       6.95255852    
   11.4999990       6.69358444    
   11.9999990       6.38461018    
   12.4999990       6.02563667    
   13.0000000       5.61666107    
   13.4999990       5.15768623    
   13.9999990       4.64871407    
   14.4999990       4.08973694    
   14.9999990       3.48076248    
   15.5000000       2.82178879    
   15.9999990       2.11281204    
   16.4999981       1.35384178    
   16.9999981      0.544864655    
  
  0.258818954      0.940925896    
  0.517637908       1.83185172    
  0.776456833       2.67277765    
   1.03527582       3.46370339    
   1.29409480       4.20462942    
   1.55291367       4.89555502    
   1.81173265       5.53648138    
   2.07055163       6.12740707    
   2.32937050       6.66833258    
   2.58818960       7.15925884    
   2.84700847       7.60018492    
   3.10582733       7.99110985    
   3.36464667       8.33203697    
   3.62346530       8.62296295    
   3.88228440       8.86388779    
   4.14110327       9.05481339    
   4.39992237       9.19573975    
   4.65874100       9.28666496    
   4.91756010       9.32759285    
   5.17637920       9.31851768    
   5.43519831       9.25944328    
   5.69401693       9.15036964    
   5.95283604       8.99129486    
   6.21165466       8.78221989    
   6.47047377       8.52314758    
   6.72929335       8.21407318    
   6.98811197       7.85499763    
   7.24693060       7.44592667    
   7.50574970       6.98684883    
   7.76456881       6.47777557    
   8.02338791       5.91870308    
   8.28220654       5.30962563    
   8.54102516       4.65055466    
   8.79984474       3.94147873    
   9.05866337       3.18240738    
   9.31748199       2.37332916    
   9.57630157       1.51425552    
   9.83512020      0.605186462    
  
  -4.37113883E-08  0.975000024    
  -8.74227766E-08   1.89999998    
  -1.31134158E-07   2.77500010    
  -1.74845553E-07   3.59999990    
  -2.18556949E-07   4.37500000    
  -2.62268316E-07   5.09999990    
  -3.05979711E-07   5.77500010    
  -3.49691106E-07   6.39999962    
  -3.93402502E-07   6.97499990    
  -4.37113897E-07   7.50000000    
  -4.80825292E-07   7.97499990    
  -5.24536631E-07   8.39999962    
  -5.68248083E-07   8.77500057    
  -6.11959422E-07   9.10000038    
  -6.55670817E-07   9.37500000    
  -6.99382213E-07   9.59999943    
  -7.43093608E-07   9.77499962    
  -7.86805003E-07   9.89999962    
  -8.30516399E-07   9.97500038    
  -8.74227794E-07   10.0000000    
  -9.17939246E-07   9.97500038    
  -9.61650585E-07   9.89999962    
  -1.00536192E-06   9.77499962    
  -1.04907326E-06   9.59999943    
  -1.09278471E-06   9.37500000    
  -1.13649617E-06   9.10000038    
  -1.18020751E-06   8.77499962    
  -1.22391884E-06   8.40000153    
  -1.26763030E-06   7.97499847    
  -1.31134163E-06   7.50000000    
  -1.35505309E-06   6.97500038    
  -1.39876443E-06   6.39999771    
  -1.44247576E-06   5.77500153    
  -1.48618722E-06   5.09999847    
  -1.52989855E-06   4.37500000    
  -1.57361001E-06   3.59999847    
  -1.61732135E-06   2.77499771    
  -1.66103280E-06   1.90000153    
  -1.70474414E-06  0.974998474    
  -1.74845559E-06   0.00000000    
  
